May  5 06:58:43 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다다다다다 (77.74%)#033[0m
May  5 06:59:53 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다다다너1다 (75.21%)#033[0m
May  5 07:00:01 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다나다다  (77.72%)#033[0m
May  5 07:02:36 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다0다다다0 (75.30%)#033[0m
May  5 07:03:01 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다다다다다 (75.53%)#033[0m
May  5 07:09:59 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나나다다다  (76.93%)#033[0m
May  5 08:47:54 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마더다나  (75.84%)#033[0m
May  5 08:48:50 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다마나다다  (76.61%)#033[0m
May  5 08:48:59 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다다다다나 (76.79%)#033[0m
May  5 10:50:29 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (77.40%)#033[0m
May  5 10:51:02 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다머다다다다다 (77.57%)#033[0m
May  5 10:51:25 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다다다다다 (77.98%)#033[0m
May  5 10:52:20 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나다마다마  (75.62%)#033[0m
May  5 10:52:53 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (77.51%)#033[0m
May  5 10:55:47 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나다마다다다  (77.20%)#033[0m
May  5 10:57:07 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다마다다다 (75.34%)#033[0m
May  5 10:58:34 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다마다다다  (78.18%)#033[0m
May  5 10:59:22 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나5마다다나 (75.75%)#033[0m
May  5 11:00:26 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다0마다다다 (76.69%)#033[0m
May  5 11:01:57 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다다마다다다 (75.64%)#033[0m
May  5 11:02:05 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 나나다마다다다 (76.42%)#033[0m
May  5 11:04:11 G15v2-SD0 rc.local[577]: gDetectCamera:250 run| #033[37mDEBUG   #033[0m | #033[37m1Plate : 다다나고다다  (75.94%)#033[0m
