달,일,시간,장비,번호판
May,5,11:47:57,G15v2-SD0,다다머다다다
May,5,11:48:06,G15v2-SD0,다다다버다다나
May,5,11:50:25,G15v2-SD0,나나다마나다다
May,5,11:50:49,G15v2-SD0,나나마다다다
May,5,11:51:07,G15v2-SD0,다다마다다다
May,5,11:51:45,G15v2-SD0,나나다마다다나
May,5,11:52:24,G15v2-SD0,나나마다다다
May,5,11:52:41,G15v2-SD0,다다더다다다다다
May,5,11:53:14,G15v2-SD0,나나마다다다
May,5,11:53:22,G15v2-SD0,나다마다다다
May,5,11:54:03,G15v2-SD0,다다5머다다다
May,5,11:55:00,G15v2-SD0,나나다머다다다
May,5,11:55:25,G15v2-SD0,나다다다다다다
May,5,11:55:50,G15v2-SD0,다다마다너나
May,5,11:55:58,G15v2-SD0,다다머다다다
May,5,12:00:42,G15v2-SD0,나다마다다다
May,5,12:00:51,G15v2-SD0,다다다다다다다
May,5,12:03:35,G15v2-SD0,다다마다다다
May,5,12:04:33,G15v2-SD0,나다다다다다다다
May,5,12:04:41,G15v2-SD0,나나다마너마
May,5,12:05:30,G15v2-SD0,다다마다다다
May,5,12:06:20,G15v2-SD0,나다마다다다
May,5,12:07:01,G15v2-SD0,다다다어다다다
May,5,12:07:10,G15v2-SD0,나다마다다다
May,5,12:08:46,G15v2-SD0,다다0다다더다
May,5,12:09:12,G15v2-SD0,너다머다다다
May,5,12:09:20,G15v2-SD0,다다다마다다다
May,5,12:09:45,G15v2-SD0,다다다마다다다
May,5,12:10:35,G15v2-SD0,나다마다다다
May,5,12:12:29,G15v2-SD0,다다다마다다다
May,5,12:12:38,G15v2-SD0,다다더마다다다
May,5,12:12:47,G15v2-SD0,다다더다다다다나
May,5,12:13:05,G15v2-SD0,나나마다다다
May,5,12:14:11,G15v2-SD0,나나마다다나
May,5,12:14:20,G15v2-SD0,다다마다다너
May,5,12:14:37,G15v2-SD0,다다마다다다
May,5,12:17:13,G15v2-SD0,나다다다다다다
May,5,12:17:47,G15v2-SD0,나다다머다다다
May,5,12:18:21,G15v2-SD0,나나5마다다다
May,5,12:18:56,G15v2-SD0,나나다머다다다
May,5,12:19:13,G15v2-SD0,다다다마다다다
May,5,12:20:11,G15v2-SD0,나나다다나마
May,5,12:20:44,G15v2-SD0,나다다마다다다
May,5,12:21:08,G15v2-SD0,나나다버다다다
May,5,12:21:33,G15v2-SD0,나다마다다다
May,5,12:23:07,G15v2-SD0,다다다머다다다
May,5,12:24:36,G15v2-SD0,나나더다다다다나
May,5,12:26:39,G15v2-SD0,다다다마다나나
May,5,12:27:21,G15v2-SD0,나다마다다다
May,5,12:32:01,G15v2-SD0,다다마다더다
May,5,12:32:34,G15v2-SD0,나다마다다다
May,5,12:33:50,G15v2-SD0,고다다다다나고마
May,5,12:34:50,G15v2-SD0,다다마다다다
May,5,12:34:59,G15v2-SD0,나나마다다나
May,5,12:35:32,G15v2-SD0,다다마다다다
May,5,12:35:48,G15v2-SD0,나나마다다나
May,5,12:38:57,G15v2-SD0,나다다마다마
May,5,12:39:06,G15v2-SD0,나나다마다다다
May,5,12:42:58,G15v2-SD0,다다0다다나다다
May,5,12:43:07,G15v2-SD0,나나머나다다
May,5,12:43:31,G15v2-SD0,나나0마다마
May,5,12:44:12,G15v2-SD0,나나다마다다
May,5,12:44:30,G15v2-SD0,다다다마다다다
May,5,12:44:47,G15v2-SD0,나나다마다다다
May,5,12:45:13,G15v2-SD0,나나마다다다
May,5,12:45:40,G15v2-SD0,나다마다다다
May,5,12:48:43,G15v2-SD0,나나다마다다다
May,5,12:49:18,G15v2-SD0,다다더마다다다
May,5,12:49:28,G15v2-SD0,다다다다다다0다
May,5,12:49:53,G15v2-SD0,다다다머다다다
May,5,12:51:07,G15v2-SD0,다다다머다다너
May,5,12:51:40,G15v2-SD0,나나다마다마다
May,5,12:51:49,G15v2-SD0,다다마다다다
May,5,12:52:22,G15v2-SD0,다다0마다다다
May,5,12:52:48,G15v2-SD0,다다마다다다
May,5,12:54:29,G15v2-SD0,나다다마다다다
May,5,12:55:12,G15v2-SD0,나다다마다다다
May,5,12:55:21,G15v2-SD0,다다더마다다다
May,5,12:56:48,G15v2-SD0,다다머다다다
May,5,12:58:22,G15v2-SD0,나다마다다다
May,5,12:58:48,G15v2-SD0,다다마다다다
May,5,12:58:57,G15v2-SD0,나다마나다나
May,5,13:00:29,G15v2-SD0,나나마다다다
May,5,13:00:46,G15v2-SD0,다다마다다다
May,5,13:00:54,G15v2-SD0,다다다마다다다
May,5,13:01:12,G15v2-SD0,다다마다다다
May,5,13:02:51,G15v2-SD0,다다다마다다다
May,5,13:02:59,G15v2-SD0,나다다마다다다
May,5,13:03:08,G15v2-SD0,나너마나다다
May,5,13:03:59,G15v2-SD0,나다마나나다
May,5,13:04:08,G15v2-SD0,다다머더마나
May,5,13:05:08,G15v2-SD0,나나마다다다
May,5,13:05:25,G15v2-SD0,다다다다다다다다
May,5,13:06:00,G15v2-SD0,다다다마다다다
May,5,13:06:18,G15v2-SD0,다다마다다다
May,5,13:06:36,G15v2-SD0,나나다마나다다
May,5,13:06:45,G15v2-SD0,나나다마다마나
May,5,13:06:54,G15v2-SD0,다다마다다다
May,5,13:07:28,G15v2-SD0,나다마다다다
May,5,13:08:20,G15v2-SD0,다다다다다다나다
May,5,13:09:30,G15v2-SD0,다다마다다다
May,5,13:09:38,G15v2-SD0,나나다다다다다다
May,5,13:10:04,G15v2-SD0,나다마다다다
May,5,13:10:13,G15v2-SD0,다다다다다다다
